X,Y,Name,description,Address,Latitude,Longitude,Provider,Power
100.523289,13.846416,EGAT Environmental Office 6 Nonthaburi.,"DC: 2 [CHAdeMO, CCS2], AC: 1 [Type 2]",Soi Sri Thanya Hospital Tiwanon Rd TALAT KHWAN MUEANG NONTHABURI NONTHABURI 11000,13.846416,100.523289,EGAT,
102.118333,14.987582,EGAT Rajamangala University of Technology Isan,"DC: 2 [CHAdeMO, CCS2], AC: 1 [Type 2]",744 สุรนารายน์ NAI MUEANG MUEANG NAKHON RATCHASIMA NAKHON RATCHASIMA 30000,14.987582,102.118333,EGAT,
100.556018,13.819889,EGAT Secretary of Energy,"DC: 2 [CHAdeMO, CCS2], AC: 1 [Type 2]",555/2 CHATUCHAK CHATUCHAK BANGKOK 10900,13.819889,100.556018,EGAT,
101.185089,12.708006,EGAT สำนักงานพลังงาน จังหวัดระยอง,"DC: 2 [CCS2, CHAdeMO], AC: 1 [Type 2]",อาคารสำนักงานพลังงาน Sukhumvit Rd. NOEN PHRA MUEANG RAYONG RAYONG 21150,12.708006,101.185089,EGAT,
100.527844,13.762979,กรมส่งเสริมอุตสาหกรรม พระราม 6,,,13.762979,100.527844,EVolt,10 kW
100.585818,13.709785,กรมส่งเสริมอุตสาหกรรม กล้วยน้ำไท,,,13.709785,100.585818,EVolt,10 kW
102.822762,16.563125,ศูนย์ส่งเสริมอุตสาหกรรม ขอนแก่น,,,16.563125,102.822762,EVolt,10 kW
99.017955,18.791344,ศูนย์ส่งเสริมอุตสาหกรรม เชียงใหม่,,,18.791344,99.017955,EVolt,10 kW
100.4143098,13.8357048,เชลล์ บางใหญ่,,,13.8357048,100.4143098,Sharge,180 kW
100.610011,13.681871,66 Tower,,,13.681871,100.610011,EVolt,100 kW
100.5342088,13.7441996,สยาม สแควร์ วัน,6x CCS2,,13.7441996,100.5342088,GWM,160 kW
100.60571,13.69551,บางจาก สุขุมวิท 62,920V 200A,,13.69551,100.60571,Sharge,120 kW
100.5450725,13.77989706,ลา วิลล่า อารีย์,,,13.77989706,100.5450725,Sharge,50 kW
100.6674348,13.74987345,มาร์เก็ต เพลส กรุงเทพกรีฑา,,,13.74987345,100.6674348,Sharge,
100.5854545,13.72656294,เอกมัย พาวเวอร์ เซ็นเตอร์,,,13.72656294,100.5854545,Sharge,
101.57055,13.91289,Western Digital,,,13.91289,101.57055,EVolt,25 kW
100.6774092,13.6516098,เอสโซ่ บางนา,,,13.6516098,100.6774092,Sharge,120 kW
99.9555558,12.5741481,เอสโซ่ หัวหิน,,,12.5741481,99.9555558,Sharge,120 kW
100.5767112,13.7258431,alt.Eatery สุขุมวิท 51,,,13.7258431,100.5767112,Sharge,
100.6287628,13.7418496,เอสโซ่ พระราม 9,,,13.7418496,100.6287628,Sharge,
100.4514314,13.9125433,โลตัส นอร์ธ ราชพฤกษ์,"CCS2: 4x 150 kW (1000V 200A)
Type2: 2x 11 kW
",,13.9125433,100.4514314,Altervim,150kW
100.6588743,13.8248563,สุขาภิบาล 1 (Coming Soon),"CCS2: 2x 160 kW
Type2: 1x 11 kW",,13.8248563,100.6588743,Altervim,160 kW
100.4784296,13.7765411,โลตัส ปิ่นเกล้า (Coming Soon),"CCS2: 2x 160 kW
Type2: 1x 11 kW",,13.7765411,100.4784296,Altervim,160 kW
100.6781882,13.6528607,โลตัส บางนา-ตราด,"CCS2: 4x 160 kW
Type2: 2x 11 kW",,13.6528607,100.6781882,Altervim,160 kW
100.7153033,13.6321179,GWM แอทยูพาร์ค บางนา,,,13.6321179,100.7153033,GWM,
100.4379089,13.6610647,GWM มอเตอร์ มอลล์ พระราม 2,,,13.6610647,100.4379089,GWM,
100.4433511,13.8237049,GWM พระราม 5,,,13.8237049,100.4433511,GWM,
100.5398451,13.7467377,Central World,"9 Superchargers, available 24/7, CCS2",Parking - B1,13.7467377,100.5398451,Tesla,250 kW
100.72463,13.61364,The American School of Bangkok,,,13.61364,100.72463,EVolt,30 kW
100.67563,13.64344,Topgolf Megacity,,,13.64344,100.67563,EVolt,24 kW
102.77016,16.46295,Volvo Tanasit Distribution,,,16.46295,102.77016,EVolt,150 kW
100.4593,7.03787,Volvo Horizon Auto,,,7.03787,100.4593,EVolt,150 kW
100.5184421,13.906405,เกรท วัน ออโต้ แจ้งวัฒนะ,,,13.906405,100.5184421,GWM,
