X,Y,Name,description,Power,Address,Latitude,Longitude,Provider
102.587431,17.97655,Kolao Auto city EV charging Station,2x CCS2 200 kW,200 kW,"XHGP+VXG, ຖະໜົນອາຊຽນ, ບ້ານນາຄຳ, ເມືອງສີໂຄຕະບອງ, Vientiane",17.97655,102.587431,EleX
99.960226,12.558122,มาร์เก็ตวิลเลจ หัวหิน,"2x CCS2 125 kW (300A), Type2 22 kW",125 kW,ศูนย์การค้ามาร์เก็ตวิลเลจ หัวหิน (HMV) 234/1 ถ. เพชรเกษม ตำบลหัวหิน อำเภอหัวหิน ประจวบคีรีขันธ์ 77110,12.558122,99.960226,EleX
101.406591,14.61726,Midwinter เขาใหญ่,"2x CCS2 125 kW (300A), Type2 22 kW",125 kW,"88 88 หมู่ที่ 10 Thanaratch Rd, Nong Nam Daeng, Pak Chong District, Nakhon Ratchasima 30130",14.61726,101.406591,EleX
102.798905,14.633484,PT นางรอง,2x CCS2 125 kW (300A),125 kW,244/2 ถนนโชคชัย-เดชอุดม ตำบลนางรอง อำเภอนางรอง จังหวัดบุรีรัมย์ 31110,14.633484,102.798905,EleX
99.116337,16.852771,PT ตาก,2x CCS2 125 kW (300A),125 kW,112 หมู่ที่1 ตำบลแม่ท้อ อำเภอเมืองตาก จังหวัดตาก 63000,16.852771,99.116337,EleX
100.775009,14.260597,PT วังน้อย 5,2x CCS2 125 kW (300A),125 kW,237 หมู่ที่2 ตำบลชะแมบ อำเภอวังน้อย จังหวัดพระนครศรีอยุธยา 13170,14.260597,100.775009,EleX
98.975967,18.766139,PT เชียงใหม่ 8,2x CCS2 125 kW (300A),125 kW,100/20 หมู่ที่1 ตำบลป่าแดด อำเภอเมืองเชียงใหม่ จังหวัดเชียงใหม่ 50100,18.766139,98.975967,EleX
99.23707,17.622911,PT เถิน,2x CCS2 125 kW (300A),125 kW,123 หมู่ที่12 ตำบลล้อมแรด อำเภอเถิน จังหวัดลำปาง  52160,17.622911,99.23707,EleX
99.415306,18.295663,PT ลำปาง,2x CCS2 125 kW (300A),125 kW,102 หมู่ที่10 ตำบลปงแสนทอง อำเภอเมืองลำปาง จังหวัดลำปาง 52100,18.295663,99.415306,EleX
102.030855,12.649677,PT ท่าใหม่ 5,2x CCS2 125 kW (300A),125 kW,34/1 หมู่ที่6 ตำบลเขาบายศรี อำเภอท่าใหม่ จังหวัดจันทบุรี 22120,12.649677,102.030855,EleX
99.847052,19.874148,PT เลี่ยงเมืองเชียงราย1,2x CCS2 125 kW (300A),125 kW,352 หมู่ที่1 ตำบลท่าสาย อำเภอเมืองเชียงราย จังหวัดเชียงราย 57000,19.874148,99.847052,EleX
100.342273,13.78906,PT บรมราชชนนี 2,2x CCS2 125 kW (300A),125 kW,ทวีวัฒนา กรุงเทพมหานคร,13.78906,100.342273,EleX
102.753264,17.382271,PT อุดรนาดี,2x CCS2 125 kW (300A),125 kW,63/21 หมู่ที่4 ซอยบ้านโพนบก ตำบลหมากแข้ง อำเภอเมืองอุดรธานี จังหวัดอุดรธานี 41000,17.382271,102.753264,EleX
100.457034,7.012334,PT หาดใหญ่ 7,2x CCS2 125 kW (300A),125 kW,491 ถนนราษฎร์อุทิศ ตำบลหาดใหญ่ อำเภอหาดใหญ่ จังหวัดสงขลา 90110,7.012334,100.457034,EleX
102.732042,16.096594,PT บ้านไผ่ 4,2x CCS2 125 kW (300A),125 kW,196 หมู่ที่1 ตำบลบ้านไผ่ อำเภอบ้านไผ่ จังหวัดขอนแก่น 40110,16.096594,102.732042,EleX
99.369784,11.083353,PT บางสะพานน้อย,2x CCS2 125 kW (300A),125 kW,323/1 หมู่ที่3 ตำบลช้างแรก อำเภอบางสะพานน้อย จังหวัดประจวบคีรีขันธ์ 77170,11.083353,99.369784,EleX
99.911295,12.885081,PT ชะอำ 3,2x CCS2 125 kW (300A),125 kW,350 หมู่ที่3 ตำบลดอนขุนห้วย อำเภอชะอำ จังหวัดเพชรบุรี 76120,12.885081,99.911295,EleX
100.89051,14.62764,PT ห้วยบง 3,2x CCS2 125 kW (300A),125 kW,29/9 หมู่ที่9 ตำบลห้วยบง อำเภอเฉลิมพระเกียรติ จังหวัดสระบุรี 18240,14.62764,100.89051,EleX
100.189809,16.758976,PT พิษณุโลก 4,2x CCS2 125 kW (300A),125 kW,"166/8,166/9 หมู่ที่7 ถนนรัชดาภิเษก ตำบลท่าโพธิ์ อำเภอเมืองพิษณุโลก จังหวัดพิษณุโลก 65000",16.758976,100.189809,EleX
102.06107,15.01016,PT นครราชสีมา 11,2x CCS2 125 kW (300A),125 kW,221 หมู่ที่2 ตำบลหนองจะบก อำเภอเมือง จังหวัดนครราชสีมา 30000,15.01016,102.06107,EleX
101.06445,15.59928,PT วิเชียรบุรี 2,2x CCS2 125 kW (300A),125 kW,163 หมู่ที่7 ตำบลสระประดู่ อำเภอวิเชียรบุรี จังหวัดเพชรบูรณ์ 67130,15.59928,101.06445,EleX
101.140109,13.302263,PT บ้านบึง 7,2x CCS2 125 kW (300A),125 kW,19/24 หมู่ 5 ตำบล บ้านบึง อำเภอบ้านบึง ชลบุรี ประเทศไทย ชลบุรี,13.302263,101.140109,EleX
101.78282,14.02291,PT กบินทร์บุรี 8,2x CCS2 125 kW (300A),125 kW,198 หมู่ที่5 ตำบลเมืองเก่า อำเภอกบินทร์บุรี จังหวัดปราจีนบุรี,14.02291,101.78282,EleX
100.466169,14.681287,PT ไชโย 2,2x CCS2 125 kW (300A),125 kW,97 หมู่ที่3 ตำบลหลักฟ้า อำเภอไชโย จังหวัดอ่างทอง 14140,14.681287,100.466169,EleX
101.09367,12.85576,PT นิคมพัฒนา2,2x CCS2 125 kW (300A),125 kW,521 หมู่ที่5 ตำบลมะขามคู่ อำเภอนิคมพัฒนา จังหวัดระยอง 21180,12.85576,101.09367,EleX
99.605668,7.572816,PT ตรัง 2,2x CCS2 125 kW (300A),125 kW,358/1 ถนนห้วยยอด ตำบลทับเที่ยง อำเภอเมืองตรัง จังหวัดตรัง 92000,7.572816,99.605668,EleX
100.04671,7.557634,PT พัทลุง 2,2x CCS2 125 kW (300A),125 kW,173 หมู่ที่7 ตำบลท่าแค อำเภอเมืองพัทลุง จังหวัดพัทลุง 93000,7.557634,100.04671,EleX
104.793279,15.172396,PT วารินชำราบ 6,2x CCS2 125 kW (300A),125 kW,229 หมุ่ที่9 ตำบลหนองกินเพล อำเภอวารินชำราบ จังหวัดอุบลราชธานี 34190,15.172396,104.793279,EleX
99.170108,9.386612,PT ไชยา 3,2x CCS2 125 kW (300A),125 kW,213 หมู่ที่1 ตำบลเวียง อำเภอไชยา จังหวัดสุราษฎร์ธานี 84110,9.386612,99.170108,EleX
99.686835,16.261033,PT คลองขลุง 4,2x CCS2 125 kW (300A),125 kW,159 หมู่ที่3 ตำบลท่าพุทรา อำเภอคลองขลุง จังหวัดกำแพงเพชร 62120,16.261033,99.686835,EleX
101.226939,16.738524,PT หล่มสัก 4,2x CCS2 125 kW (300A),125 kW,ตำบล หนองไขว่ อำเภอหล่มสัก เพชรบูรณ์ 67110,16.738524,101.226939,EleX
99.083596,10.277704,PT สวี 3,2x CCS2 125 kW (300A),125 kW,ตำบล ครน อำเภอสวี ชุมพร 86130,10.277704,99.083596,EleX
98.914332,8.082432,PT กระบี่ 2,2x CCS2 125 kW (300A),125 kW,377 ถนนอุตรกิจ ตำบลปากน้ำ อำเภอเมืองกระบี่ จังหวัดกระบี่ 81000,8.082432,98.914332,EleX
100.54828,13.914767,อิมแพ็ค ลานจอดภายนอกอาคาร Novotel,"CCS2 60 kW, CHAdeMO 60 kW
2x CCS2 125 kW (300A)",125 kW,"94 Popular Rd, Subdistrict, Amphoe Pak Kret, Nonthaburi 11120",13.914767,100.54828,EleX
100.60755,14.201995,Porto Go บางปะอิน,"2x CCS2 125 kW (300A), Type2 22 kW",125 kW,"80 Khlong Chik, Bang Pa-in District, Phra Nakhon Si Ayutthaya 13160, Thailand",14.201995,100.60755,EleX
