X,Y,Name,description,Name_EN,Power,Code,Address,Latitude,Longitude,Provider
100.569608,14.113372,ปตท บจ.ปิโตรเลียม(ถ.347),"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)
ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",PTT Petroleum (347 Rd.),160 kW,GWC-OR-0051,99 ม.1 ต.เชียงรากน้อย อ.สามโคก ปทุมธานี 12160,14.113372,100.569608,PTT
99.4667811,18.26241928,ปตท หจก.ถาวรชัยลำปาง,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Thavornchai Lampang,120 kW,GWC-OR-0096,26 ถ.ไฮเวย์ลำปาง-งาว ต.ชมพู อ.เมืองลำปาง ลำปาง 52000,18.26241928,99.4667811,PTT
102.132905062155,14.9389399815351,ปตท บจ.พงษ์กิต  2 (หัวทะเล),"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)","PTT Pongkit Co., Ltd. Branch 2 (Hua Talay)",120 kW,GWC-OR-0139,สาขา 2 133 ม.1 ถ.ราชสีมา-โชคชัย ต.หนองบัวศาลา อ.เมืองนครราชสีมา นครราชสีมา 30000,14.9389399815351,102.132905062155,PTT
100.626890612591,14.1856664211946,ปตท แอล.พี.จี. บจก.สยามทรัพย์สมบูรณ์ ปิโตรเลียม,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)","PTT LPG Station Siam Subsomboon Petroleum Co., Ltd",120 kW,GWC-OR-0154,119 หมู่ 1 ตำบลลำไทร อำเภอวังน้อย พระนครศรีอยุธยา 13170,14.1856664211946,100.626890612591,PTT
99.20248,10.678326,ปตท ท่าแซะ,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Tha Sae,120 kW,GWC-OR-0064,96 ม.16 ถ.เพชรเกษม ต.ท่าแซะ อ.ท่าแซะ ชุมพร 86140,10.678326,99.20248,PTT
99.901172,12.987461,ปตท บจ.เฮงปิโตรเลียมบริการ,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Heng Petroleum Services 2013,120 kW,GWC-OR-0056,99 ม.2 ต.ท่ายาง อ.ท่ายาง เพชรบุรี 76130,12.987461,99.901172,PTT
100.8073381,14.29412082,โอ.อาร์ อคาเดมี่,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",OR Academy,120 kW,GWC-OR-0132,99/9 ม.6 ต.สนับทึบ อ.วังน้อย จ.พระนครศรีอยุธยา 13170,14.29412082,100.8073381,PTT
99.91219896,19.14557898,ปตท หจก.วันสิริ เซอร์วิส,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Wansiri Service,120 kW,GWC-OR-0109,403/1 ถ.พหลโยธิน ต.แม่ต๋ำ อ.เมืองพะเยา พะเยา 56000,19.14557898,99.91219896,PTT
100.5948296,13.6754919,ปตท สรรพาวุธ-บางนา,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Sanphawut-Bangna,120 kW,GWC-OR-0116,500/4 ถ.สรรพาวุธ แขวงบางนาเหนือ เขตบางนา กรุงเทพมหานคร 10260,13.6754919,100.5948296,PTT
102.7976781,17.4051886,ปตท บจ.ไทยเจริญ เพทโทรล สเตชั่น,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Thaicharoen Petrol Station,120 kW,GWC-OR-0095,"252/8-9,10 ถ.ประจักษ์ศิลปาคม ต.หมากแข้ง อ.เมืองอุดรธานี อุดรธานี 41000",17.4051886,102.7976781,PTT
104.626404141427,15.9049486671802,ปตท บจ.สุรชัยอำนาจ ปิโตรเลียม,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)","PTT Surachai Amnat Petroleum Co., Ltd",120 kW,GWC-OR-0219,15 หมู่ 9 ถนนชยางกูร ตำบลโนนหนามแท่ง อำเภอเมืองอำนาจเจริญ อำนาจเจริญ 37000,15.9049486671802,104.626404141427,PTT
102.123575,14.950587,ปตท บจ.มีโชคเพาเวอร์ พลัส,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)","PTT Meechok Power Plus Co., Ltd",120 kW,GWC-OR-0147,1868 ม.1 ต.หัวทะเล อ.เมืองนครราชสีมา นครราชสีมา 30000,14.950587,102.123575,PTT
100.597699855172,14.3912937288836,ปตท แอล.พี.จี. บจก.ศิริอยุธยา,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)","PTT LPG Station Siri Ayutthaya Co., Ltd",120 kW,GWC-OR-0155,3053 ตำบลบ้านเกาะ อำเภอพระนครศรีอยุธยา พระนครศรีอยุธยา 13000,14.3912937288836,100.597699855172,PTT
99.5243911,18.3036504,ปตท หจก.ธนันท์ตา ปิโตรเลียม,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",PTT Thanunta Petroleum,120 kW,GWC-OR-1034,133/3 ม.1 ถ.ลำปาง-งาว ต.พิชัย อ.เมืองลำปาง ลำปาง 52000,18.3036504,99.5243911,PTT
104.8806,15.2522,ปตท หจก.การดี ปิโตรเลียม,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Karndee Petroleum,120 kW,GWC-OR-0085,244 ถ.อุบล-ตระการ ต.ในเมือง อ.เมืองอุบลราชธานี อุบลราชธานี 34000,15.2522,104.8806,PTT
104.819169869101,15.2227005554652,ปตท หจก.เลี่ยงเมืองอุบลบริการ,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",PTT Bypass Ubon Service,120 kW,GWC-OR-0218,181 หมู่ 7 ถนนเลี่ยงเมือง ตำบลแจระแม อำเภอเมืองอุบลราชธานี อุบลราชธานี 34000,15.2227005554652,104.819169869101,PTT
101.404121253828,14.611295031573,ปตท บจ.เขาใหญ่สเตชั่น,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)","PTT Khao Yai Station Co., Ltd",120 kW,GWC-OR-0207,95 หมู่ 6 ตำบลหนองน้ำแดง อำเภอปากช่อง นครราชสีมา 30130,14.611295031573,101.404121253828,PTT
100.818005,14.28964,ปตท วังน้อย,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Wang Noi,120 kW,GWC-OR-0122,160 ม.7 ต.สนับทึบ อ.วังน้อย พระนครศรีอยุธยา 13170,14.28964,100.818005,PTT
