X,Y,Name,description,Power,Address,Latitude,Longitude,Provider
100.521029,13.742579,7-11 สีตบุตร,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"รองเมือง, ปทุมวัน, กรุงเทพมหานคร",13.742579,100.521029,EA
100.516818,13.717813,ริทึ่ม สาทร,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"ยานนาวา, สาทร, กรุงเทพมหานคร",13.717813,100.516818,EA
100.538724,13.725044,โครนอส ทาวเวอร์ ชั้น จี สเตชั่น1,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"สีลม, บางรัก, กรุงเทพมหานคร",13.725044,100.538724,EA
100.461259,13.784968,เอสโซ่ ปิ่นเกล้า,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"ตลิ่งชัน, ตลิ่งชัน, กรุงเทพมหานคร",13.784968,100.461259,EA
100.447065,13.743377,MG 824 จำกัด,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"บางเชือกหนัง, ตลิ่งชัน, กรุงเทพมหานคร",13.743377,100.447065,EA
100.565114,13.758519,อาคาร ซี.พี.ทาวเวอร์ 2 (หน้าศูนย์การค้าฝั่งโลตัส),"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"ดินแดง, ดินแดง, กรุงเทพมหานคร",13.758519,100.565114,EA
100.450589,13.709785,เมโทร พาร์ค สาทร,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"บางหว้า, ภาษีเจริญ, กรุงเทพมหานคร",13.709785,100.450589,EA
100.561303,13.802918,ซัสโก้ สาขา วิภาวดี 1,"Type2: 22 kW
CCS2: 2x 135 kW, 200A
Parking ",135 kW,"จอมพล, จตุจักร, กรุงเทพมหานคร",13.802918,100.561303,EA
100.522349,13.68431,ทีซี ฟุตบอลคลับ พระราม3,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"บางโพงพาง, ยานนาวา, กรุงเทพมหานคร",13.68431,100.522349,EA
100.42978,13.712268,เอสโซ่ เพชรเกษม 39,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"บางหว้า, ภาษีเจริญ, กรุงเทพมหานคร",13.712268,100.42978,EA
100.569298,13.810139,บิ๊กซี-Extra ลาดพร้าว 2,"Type2: CLOSED
CCS2: 135 kW, 200A
Parking",135 kW,"จอมพล, จตุจักร, กรุงเทพมหานคร",13.810139,100.569298,EA
100.590188,13.769676,เราะห์ มาห์ มอลล์,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"สามเสนนอก, ห้วยขวาง, กรุงเทพมหานคร",13.769676,100.590188,EA
100.501694,13.844058,7-11 ประชาราษฎร์ 16/1,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"ตลาดขวัญ, เมืองนนทบุรี, นนทบุรี",13.844058,100.501694,EA
100.427679,13.821693,บางกอกเดย์ราม่า,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"บางขุนกอง, บางกรวย, นนทบุรี",13.821693,100.427679,EA
100.512433,13.854632,7-11 เรวดี 17,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"ตลาดขวัญ, เมืองนนทบุรี, นนทบุรี",13.854632,100.512433,EA
100.562556,13.846654,โรงพยาบาล วิภาวดี (ถ.งามวงศ์วาน) ST.1,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"ลาดยาว, จตุจักร, กรุงเทพมหานคร",13.846654,100.562556,EA
100.535624,13.867708,7-11 งามวงศ์วาน 23 แยก18,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"ท่าทราย, เมืองนนทบุรี, นนทบุรี",13.867708,100.535624,EA
100.620841,13.779194,ออมนิ บิสซิเนส มอลล์ (ลาดพร้าว116),"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"วังทองหลาง, วังทองหลาง, กรุงเทพมหานคร",13.779194,100.620841,EA
100.52849,13.871941,7-11 ทานสัมฤทธิ์,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"ท่าทราย, เมืองนนทบุรี, นนทบุรี",13.871941,100.52849,EA
100.623521,13.777934,A.C.T สาขา Cockpit ลาดพร้าวซอย 122,"Type2: CLOSED
CCS2: 135 kW, 200A
Parking",135 kW,"วังทองหลาง, วังทองหลาง, กรุงเทพมหานคร",13.777934,100.623521,EA
100.444103,13.64693,7-11 ท่าข้าม 11,"Type2: CLOSED
CCS2: 135 kW, 200A
Parking",135 kW,"แสมดำ, บางขุนเทียน, กรุงเทพมหานคร",13.64693,100.444103,EA
100.631701,13.769092,โรงแรม วาบัวร์ แอสโซเทล ( ลาดพร้าว 130 ),"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"คลองจั่น, บางกะปิ, กรุงเทพมหานคร",13.769092,100.631701,EA
100.628302,13.835864,แฮปปี้ฮับ สปอร์ต แอนด์ รีครีเอชั่น (ถนนสุคนธสวัสดิ์),"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parkong",135 kW,"ลาดพร้าว, ลาดพร้าว, กรุงเทพมหานคร",13.835864,100.628302,EA
100.630648,13.833919,7-11 ประดิษฐ์มนูธรรม 27,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"ลาดพร้าว, ลาดพร้าว, กรุงเทพมหานคร",13.833919,100.630648,EA
100.414358,13.634549,7-11 ชุมชนศักดิ์มงคลชัย,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"แสมดำ, บางขุนเทียน, กรุงเทพมหานคร",13.634549,100.414358,EA
100.636102,13.670984,บริสโซ่ บางนา,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"บางนา, บางนา, กรุงเทพมหานคร",13.670984,100.636102,EA
100.637679,13.847606,ศิลา ฟิวเจอร์ จำกัด,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"ท่าแร้ง, บางเขน, กรุงเทพมหานคร",13.847606,100.637679,EA
100.640307,13.649796,บิ๊กซี ศรีนครินทร์,"Type2: CLOSED
CCS2: 135 kW, 200A
Parking",135 kW,"สำโรงเหนือ, เมืองสมุทรปราการ, สมุทรปราการ",13.649796,100.640307,EA
100.643274,13.646208,7-11 กลางซอยศรีด่าน 22,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
pARKING",135 kW,"บางแก้ว, บางพลี, สมุทรปราการ",13.646208,100.643274,EA
100.662285,13.841268,บิ๊กซี คู้บอน,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"คันนายาว, คันนายาว, กรุงเทพมหานคร",13.841268,100.662285,EA
100.540006,13.937406,เรสโกติวานนท์,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"บ้านใหม่, ปากเกร็ด, นนทบุรี",13.937406,100.540006,EA
100.705073,13.699083,K-space Mini Mall ถ.สุขาภิบาล2,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"ประเวศ, ประเวศ, กรุงเทพมหานคร",13.699083,100.705073,EA
100.719781,13.817255,บิ๊กซี สุวินทวงศ์,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"มีนบุรี, มีนบุรี, กรุงเทพมหานคร",13.817255,100.719781,EA
100.380276,13.94576,เดอะวิสดาพาร์ค,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"บางบัวทอง, บางบัวทอง, นนทบุรี",13.94576,100.380276,EA
100.734428,13.722254,MG รุ่งเจริญ สาขา ลาดกระบัง,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"ลาดกระบัง, ลาดกระบัง, กรุงเทพมหานคร",13.722254,100.734428,EA
100.737612,13.809868,บิ๊กซี ร่มเกล้า,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"มีนบุรี, มีนบุรี, กรุงเทพมหานคร",13.809868,100.737612,EA
100.720714,13.860382,บิ๊กซี หทัยราษฎร์,"Type2: CLOSED
CCS2: 135 kW, 200A
Parking",135 kW,"บางชัน, คลองสามวา, กรุงเทพมหานคร",13.860382,100.720714,EA
100.746591,13.745205,7-11 ร่มเกล้า23,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"คลองสามประเวศ, ลาดกระบัง, กรุงเทพมหานคร",13.745205,100.746591,EA
100.719774,13.629758,MG นครหลวง (สาขาบางนา),"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"บางโฉลง, บางพลี, สมุทรปราการ",13.629758,100.719774,EA
100.319314,13.985333,บิ๊กซี ไทรน้อย,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"ไทรน้อย, ไทรน้อย, นนทบุรี",13.985333,100.319314,EA
100.803471,13.809549,MG กรุงเทพ (สาขาสุวินทวงศ์),"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"โคกแฝด, หนองจอก, กรุงเทพมหานคร",13.809549,100.803471,EA
100.776767,13.604462,คาลเท็กซ์ บางนา-ตราด กม.20,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"บางโฉลง, บางพลี, สมุทรปราการ",13.604462,100.776767,EA
100.8153,13.592996,MG พรีเมียร์ ออโต้โมบิล (กม.24),"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"บางเสาธง, บางเสาธง, สมุทรปราการ",13.592996,100.8153,EA
103.059429,14.967098,MG ไฮเทค ทีแอนด์เอ็น จำกัด (บุรีรัมย์),"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"กระสัง, เมืองบุรีรัมย์, บุรีรัมย์",14.967098,103.059429,EA
103.617304,16.060749,โรบินสัน ร้อยเอ็ด,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"ดงลาน, เมืองร้อยเอ็ด, ร้อยเอ็ด",16.060749,103.617304,EA
104.8081,15.183089,MG เอ็มทู มอเตอร์สปอร์ต (จ.อุบลราชธานี),"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"หนองกินเพล, วารินชำราบ, อุบลราชธานี",15.183089,104.8081,EA
100.413726,13.831652,มาย์ วิลล่า บางใหญ่,"Type2: CLOSED
CCS2: 2x 120 kW, 200A
Parking",120 kW,"บางม่วง, บางใหญ่, นนทบุรี",13.831652,100.413726,EA
100.590171,13.734521,Mattani (เอกมัย22),"Type2: CLOSED
CCS2: 2x 112 kW, 200A
parking",112 kW,"คลองตันเหนือ, วัฒนา, กรุงเทพมหานคร",13.734521,100.590171,EA
100.532229,13.727318,อาคาร อาคเนย์ประกันภัย จำกัด,"Type2: 22 kW
CCS2: 2x 110 kW, 200A
Parking",110 kW,"บางรัก, บางรัก, กรุงเทพมหานคร",13.727318,100.532229,EA
100.47129,13.785289,ซัสโก้ สาขาบางบำหรุ,"Type2: CLOSED
CCS2: 2x 110 kW, 200A
Parking",110 kW,"บางบำหรุ, บางพลัด, กรุงเทพมหานคร",13.785289,100.47129,EA
100.475762,13.720621,SCB สาขาตลาดพลู,"Type2: 22 kW
CCS2: 2x 110 kW, 200A
PARKING  SCB",110 kW,"ตลาดพลู, ธนบุรี, กรุงเทพมหานคร",13.720621,100.475762,EA
100.444822,13.768419,The Bloc (Ratchaphruek),"Type2: CLOSED
CCS2: 2x 110 kW, 200A
Parking",110 kW,"ตลิ่งชัน, ตลิ่งชัน, กรุงเทพมหานคร",13.768419,100.444822,EA
100.566031,13.740239,ROYCE Privata Residences ซอยสุขุมวิท23,"Type2: 22 kW
CCS2: 2x 110 kW, 200A
Parking ",110 kW,"คลองตันเหนือ, วัฒนา, กรุงเทพมหานคร",13.740239,100.566031,EA
100.570968,13.75339,โรงพยาบาลพระราม 9,"Type2: 22 kW, CLOSED
CCS2: 2x 110 kW, 200A
Parking",110 kW,"บางกะปิ, ห้วยขวาง, กรุงเทพมหานคร",13.75339,100.570968,EA
100.494137,13.685865,ซัสโก้ บางประกอก (สำนักงานใหญ่),"Type2: 22 kW
CCS2: 110 kW, 200A
-",110 kW,"บางปะกอก, ราษฎร์บูรณะ, กรุงเทพมหานคร",13.685865,100.494137,EA
100.500082,13.682779,บิ๊กซี ราษฎร์บูรณะ,"Type2: CLOSED
CCS2: 2x 110 kW, 200A
Parking",110 kW,"บางปะกอก, ราษฎร์บูรณะ, กรุงเทพมหานคร",13.682779,100.500082,EA
100.57506,13.785694,เมืองไทยประกันภัย จำกัด,"Type2: CLOSED
CCS2: 2x 110 kW, 200A
Parking",110 kW,"ห้วยขวาง, ห้วยขวาง, กรุงเทพมหานคร",13.785694,100.57506,EA
100.5562,13.67046,ซัสโก้ สาขาบางยอ,"Type2: 22 kW
CCS2: 2x 110 kW, 200A
-",110 kW,"บางยอ, พระประแดง, สมุทรปราการ",13.67046,100.5562,EA
100.606936,13.765679,อารดา ทาวน์ อิน ทาวน์ (บ.ทรัพย์สิน อารดา จำกัด),"Type2: 22 kW
CCS2: 110 kW, 200A
parking",110 kW,"วังทองหลาง, วังทองหลาง, กรุงเทพมหานคร",13.765679,100.606936,EA
100.600755,13.712975,ศูนย์การค้า Habito Mall สุขุมวิท77,"Type2: 22 kW
CCS2: 2x 110 kW, 200A
Parking of Habito",110 kW,"พระโขนงเหนือ, วัฒนา, กรุงเทพมหานคร",13.712975,100.600755,EA
100.601667,13.709948,บิ๊กซี เอ็กซ์ตร้า อ่อนนุช,"Type2: CLOSED
CCS2: 2x 110 kW, 200A
Parking",110 kW,"พระโขนงเหนือ, วัฒนา, กรุงเทพมหานคร",13.709948,100.601667,EA
100.600705,13.701863,เดอะฟิล (สุขุมวิท 54),"Type2: 22 kW
CCS2: 2x 110 kW, 200A
parking ",110 kW,"บางจาก, พระโขนง, กรุงเทพมหานคร",13.701863,100.600705,EA
100.626596,13.731558,7-11 พัฒนาการ 38 กลางซอย,"Type2: CLOSED
CCS2: 110 kW, 200A
Parking",110 kW,"สวนหลวง, สวนหลวง, กรุงเทพมหานคร",13.731558,100.626596,EA
100.549786,13.877647,One One Food Avenue (ถนนซอยสามัคคี),"Type2: 22 kW, CLOSED
CCS2: 2x 110 kW, 200A
Parking",110 kW,"บางตลาด, ปากเกร็ด, นนทบุรี",13.877647,100.549786,EA
100.50809,13.624978,ซัสโก้ สาขา ประชาอุทิศ 1,"Type2: 22 kW
CCS2: 110 kW, 200A
PARKING",110 kW,"ทุ่งครุ, ทุ่งครุ, กรุงเทพมหานคร",13.624978,100.50809,EA
100.412083,13.857596,ซัสโก้ สาขาบางใหญ่,"Type2: 22 kW
CCS2: 2x 110 kW, 200A
Parking",110 kW,"บางแม่นาง, บางใหญ่, นนทบุรี",13.857596,100.412083,EA
100.626748,13.668863,เบสท์ เอ็นเนอร์ยี่ พลัส สาขา 22 (บางนาขาเข้า),"Type2: 22 kW
CCS2: 2x 110 kW, 200A
Parking",110 kW,"บางนา, บางนา, กรุงเทพมหานคร",13.668863,100.626748,EA
