Year,Month,Type,ICEV,HEV,PHEV,HEV & PHEV,BEV,Total xEV,Not Specific,Other,Total
2561,01,Bus,939,0,0,0,0,0,0,0,939
2561,01,Mini MPV,0,0,0,0,0,0,0,0,0
2561,01,Passenger Car and Pickup Truck,89115,0,0,1049,0,1049,2,0,89117
2561,01,Three Wheeler,14,0,0,0,0,0,0,0,14
2561,01,Truck,4227,0,0,0,0,0,0,1504,5731
2561,02,Bus,978,0,0,0,4,4,0,0,982
2561,02,Mini MPV,2,0,0,0,0,0,0,0,2
2561,02,Passenger Car and Pickup Truck,87839,0,0,1271,3,1274,2,0,87844
2561,02,Three Wheeler,4,0,0,0,1,1,0,0,5
2561,02,Truck,4321,0,0,0,0,0,0,1350,5671
2561,03,Bus,1093,0,0,0,19,19,0,0,1112
2561,03,Mini MPV,8,0,0,0,0,0,0,0,8
2561,03,Passenger Car and Pickup Truck,93722,0,0,1536,1,1537,1,0,93724
2561,03,Three Wheeler,9,0,0,0,5,5,0,0,14
2561,03,Truck,4450,0,0,0,0,0,0,1440,5890
2561,04,Bus,831,0,0,0,4,4,0,0,835
2561,04,Mini MPV,4,0,0,0,0,0,0,0,4
2561,04,Passenger Car and Pickup Truck,73858,0,0,1561,2,1563,2,0,73862
2561,04,Three Wheeler,13,0,0,0,1,1,0,0,14
2561,04,Truck,4084,0,0,0,0,0,0,1396,5480
2561,05,Bus,1109,0,0,0,7,7,0,0,1116
2561,05,Mini MPV,3,0,0,0,0,0,0,0,3
2561,05,Passenger Car and Pickup Truck,89397,0,0,1896,10,1906,0,0,89407
2561,05,Three Wheeler,13,0,0,0,0,0,0,0,13
2561,05,Truck,4557,0,0,0,0,0,0,1697,6254
2561,06,Bus,1202,0,0,0,0,0,0,0,1202
2561,06,Mini MPV,2,0,0,0,0,0,0,0,2
2561,06,Passenger Car and Pickup Truck,87586,0,0,2252,4,2256,0,0,87590
2561,06,Three Wheeler,9,0,0,0,1,1,0,0,10
2561,06,Truck,4265,0,0,0,0,0,0,1464,5729
2561,07,Bus,1058,0,0,1,0,1,0,0,1058
2561,07,Mini MPV,5,0,0,0,0,0,0,0,5
2561,07,Passenger Car and Pickup Truck,77906,0,0,2017,22,2039,0,0,77928
2561,07,Three Wheeler,17,0,0,0,9,9,0,0,26
2561,07,Truck,4499,0,0,0,0,0,0,1676,6175
2561,08,Bus,1067,0,0,0,4,4,0,0,1071
2561,08,Mini MPV,3,0,0,0,0,0,0,0,3
2561,08,Passenger Car and Pickup Truck,86994,0,0,2104,37,2141,0,0,87031
2561,08,Three Wheeler,17,0,0,0,1,1,0,0,18
2561,08,Truck,4713,0,0,0,0,0,2,1631,6346
2561,09,Bus,855,0,0,0,0,0,0,1,856
2561,09,Mini MPV,1,0,0,0,0,0,0,0,1
2561,09,Passenger Car and Pickup Truck,78360,0,0,1826,2,1828,0,0,78362
2561,09,Three Wheeler,23,0,0,0,4,4,0,0,27
2561,09,Truck,4031,0,0,0,0,0,0,1342,5373
2561,10,Bus,1230,0,0,0,0,0,0,0,1230
2561,10,Mini MPV,1,0,0,0,0,0,0,0,1
2561,10,Passenger Car and Pickup Truck,80680,0,0,1704,2,1706,2,0,80684
2561,10,Three Wheeler,26,0,0,0,6,6,0,0,32
2561,10,Truck,4762,0,0,0,0,0,0,1860,6622
2561,11,Bus,1320,0,0,0,0,0,0,0,1320
2561,11,Mini MPV,8,0,0,0,0,0,0,0,8
2561,11,Passenger Car and Pickup Truck,78068,0,0,1646,5,1651,3,0,78076
2561,11,Three Wheeler,23,0,0,0,12,12,0,0,35
2561,11,Truck,4632,0,0,0,0,0,0,1746,6378
2561,12,Bus,1098,0,0,0,0,0,0,0,1098
2561,12,Mini MPV,1,0,0,0,0,0,0,0,1
2561,12,Passenger Car and Pickup Truck,59225,0,0,1194,21,1215,0,0,59246
2561,12,Three Wheeler,15,0,0,0,3,3,0,0,18
